['201911038', [0.35, 0.65, 369], [0.6, 0.4, 43], [0.9, 0.1, 61], [0.2, 0.02, 0.46, 0.33, 46], [0], [0, 139, 0, 6]]
['201911039', [0.22, 0.78, 467], [0.57, 0.43, 37], [0.87, 0.13, 76], [0.29, 0.06, 0.27, 0.38, 66], [4], [1, 162, 0, 10]]
['201911040', [0.32, 0.68, 472], [0.65, 0.35, 48], [0.86, 0.14, 83], [0.09, 0.07, 0.45, 0.39, 69], [0], [5, 184, 0, 12]]
['201911041', [0.35, 0.65, 448], [0.34, 0.66, 53], [0.93, 0.07, 69], [0.38, 0.03, 0.19, 0.41, 37], [0], [8, 162, 1, 5]]
['201911042', [0.27, 0.73, 476], [0.56, 0.44, 55], [0.86, 0.14, 79], [0.25, 0.05, 0.0, 0.7, 40], [1], [11, 173, 0, 11]]
['201911043', [0.35, 0.65, 237], [0.48, 0.52, 44], [0.91, 0.09, 57], [0.06, 0.24, 0.18, 0.53, 17], [1], [6, 152, 0, 5]]
['201911044', [0.21, 0.79, 343], [0.44, 0.56, 45], [0.89, 0.11, 73], [0.1, 0.12, 0.43, 0.36, 42], [1], [81, 147, 0, 8]]
['201911045', [0.35, 0.65, 413], [0.62, 0.38, 37], [0.85, 0.15, 59], [0.41, 0.0, 0.0, 0.59, 17], [2], [0, 133, 0, 9]]
['201911047', [0.26, 0.74, 452], [0.47, 0.53, 49], [0.84, 0.16, 90], [0.22, 0.0, 0.29, 0.49, 63], [0], [1, 178, 0, 14]]
['201911049', [0.2, 0.8, 388], [0.63, 0.37, 35], [0.94, 0.06, 62], [0.08, 0.0, 0.72, 0.21, 39], [0], [0, 135, 0, 4]]
['201911050', [0.38, 0.62, 518], [0.48, 0.52, 42], [0.92, 0.08, 138], [0.32, 0.04, 0.08, 0.56, 25], [2], [2, 196, 0, 11]]
['201911051', [0.25, 0.75, 333], [0.71, 0.29, 51], [0.84, 0.16, 61], [0.19, 0.0, 0.13, 0.68, 31], [1], [2, 130, 0, 10]]
['201911054', [0.23, 0.77, 457], [0.49, 0.51, 37], [0.91, 0.09, 99], [0.74, 0.0, 0.04, 0.22, 50], [0], [1, 166, 0, 9]]
['201911055', [0.19, 0.81, 454], [0.56, 0.44, 32], [0.88, 0.12, 74], [0.7, 0.07, 0.15, 0.07, 27], [0], [12, 150, 0, 9]]
['201911056', [0.28, 0.72, 328], [0.38, 0.62, 37], [0.86, 0.14, 69], [0.0, 0.07, 0.0, 0.93, 14], [0], [2, 153, 0, 10]]
['201911058', [0.29, 0.71, 374], [0.53, 0.47, 47], [0.79, 0.21, 62], [0.16, 0.02, 0.13, 0.69, 45], [1], [0, 196, 0, 13]]
['201911059', [0.32, 0.68, 298], [0.71, 0.29, 21], [0.92, 0.08, 63], [0.02, 0.0, 0.43, 0.55, 42], [0], [0, 118, 0, 5]]
['201911061', [0.31, 0.69, 188], [0.73, 0.27, 11], [0.92, 0.08, 36], [0.4, 0.0, 0.0, 0.6, 5], [0], [0, 68, 0, 3]]
['201911062', [0.21, 0.79, 290], [0.57, 0.43, 30], [0.83, 0.17, 41], [0.22, 0.56, 0.0, 0.22, 9], [0], [1, 130, 0, 7]]
['201911063', [0.09, 0.91, 348], [0.55, 0.45, 44], [0.86, 0.14, 77], [0.15, 0.22, 0.0, 0.63, 27], [2], [5, 174, 0, 11]]
['201911065', [0.32, 0.68, 469], [0.49, 0.51, 55], [0.88, 0.12, 76], [0.02, 0.0, 0.34, 0.64, 53], [0], [20, 201, 1, 9]]
['201911066', [0.43, 0.57, 419], [0.66, 0.34, 53], [0.88, 0.12, 76], [0.08, 0.0, 0.0, 0.92, 49], [23], [1, 164, 0, 9]]
['201911067', [0.33, 0.67, 276], [0.43, 0.57, 30], [0.92, 0.08, 76], [0.19, 0.0, 0.44, 0.38, 32], [0], [2, 146, 0, 6]]
['201911071', [0.17, 0.83, 408], [0.5, 0.5, 34], [0.82, 0.18, 61], [0.4, 0.0, 0.48, 0.12, 25], [2], [14, 154, 0, 11]]
